cig;numero_gara;importo_complessivo_gara;n_lotti_componenti;importo_lotto;settore;data_pubblicazione;tipo_scelta_contraente;modalita_realizzazione;denominazione_amministrazione_appaltante;sezione_regionale;descrizione_cpv;aggiudicatario;tipo_aggiudicatario
0237192905;312539;1128500.0;8.0;41600.0;SETTORI ORDINARI;2008-11-12;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;I.R.C.C.S. - C.R.O.B -CENTRO DI RIFERIMENTO ONCOLOGICO DELLA BASILICATA;SEZIONE REGIONALE BASILICATA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;GETINGE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0246247971;327813;179055.016;1.0;179055.01;SETTORI ORDINARI;2008-11-27;PROCEDURA RISTRETTA;CONTRATTO D'APPALTO;COMUNE DI ROCCARAINOLA;SEZIONE REGIONALE CAMPANIA;LAVORI DI COSTRUZIONE PER OPERE IDRAULICHE;EDILNAM S.A.S. ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0205245D84;280378;163811.0;1.0;163811.0;SETTORI ORDINARI;2008-11-11;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;AMMINISTRAZIONE PROVINCIALE DI BENEVENTO;SEZIONE REGIONALE CAMPANIA;LAVORI DI COSTRUZIONE;DEL TUFO COSTRUZIONI S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
089399974E;942158;79920.0;1.0;79920.0;SETTORI ORDINARI;2008-11-26;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;AZIENDA PER I SERVIZI SANITARI N.1 TRIESTINA ;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;SERVIZI DI CONSULENZA IN MATERIA DI PARI OPPORTUNITÀ;COOPERATIVA SOCIALE LA PIAZZETTA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2370713640;2447573;81319.33;1.0;81319.33;SETTORI ORDINARI;2008-11-17;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;COMUNE DI NAPOLI;SEZIONE REGIONALE CAMPANIA;SISTEMI DI INFORMAZIONE;ANSA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2045162910;2118664;47500.0;1.0;47500.0;SETTORI ORDINARI;2008-11-19;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;COMUNE DI VILLA CARCINA;SEZIONE REGIONALE LOMBARDIA;RIPARAZIONE E MANUTENZIONE DI IMPIANTI;IDRAULICA F.LLI GATTI SNC;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02391898FF;314893;65000.0;1.0;65000.0;SETTORI ORDINARI;2008-11-28;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;COMUNE DI VERONA;SEZIONE REGIONALE VENETO;SERVIZI DI URBANISTICA;PROF ARCH STEFANO STANGHELLINI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0223475167;298607;50000.0;1.0;50000.0;SETTORI ORDINARI;2008-11-20;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;MARINA MILITARE DIREZIONE GENERALE ARSENALE MILITARE MARITTI;SEZIONE REGIONALE CENTRALE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI NAVI DA GUERRA;S.I.M.A.N.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02230101AC;298164;41000.0;1.0;41000.0;SETTORI ORDINARI;2008-11-25;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;MARINA MILITARE DIREZIONE GENERALE ARSENALE MILITARE MARITTI;SEZIONE REGIONALE CENTRALE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI NAVI DA GUERRA;RATTI MASSIMO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0201795E7C;276883;89052.45;31.0;425000.0;SETTORI ORDINARI;2008-11-10;PROCEDURA RISTRETTA;CONTRATTO D'APPALTO;AZIENDA OSPEDALE SANTA MARIA NUOVA;SEZIONE REGIONALE EMILIA ROMAGNA;APPARECCHIATURE MEDICHE, PRODOTTI FARMACEUTICI E PER LA CURA PERSONALE;BAYER SPA ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3410362FBC;3422607;130000.0;1.0;130000.0;SETTORI ORDINARI;2008-11-17;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;CENTRO DI DOCUMENTAZIONE E RICERCA ANTROPOLOGICA DELLA VALNERINA;SEZIONE REGIONALE UMBRIA;SERVIZI DI INFORMAZIONE TURISTICA;FRANCESCO MARCONI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0234969E89;310235;59500.0;1.0;59500.0;SETTORI ORDINARI;2008-11-11;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;COMUNE DI GENOVA;SEZIONE REGIONALE LIGURIA;MOBILI PER LA CASA;RIZ OFFICE SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
34183374ED;3429871;135000.0;1.0;135000.0;SETTORI ORDINARI;2008-11-07;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;REGIONE VENETO;SEZIONE REGIONALE VENETO;SERVIZI DI PROVA E ANALISI DELLA COMPOSIZIONE E DELLA PUREZZA;GEOTECNICA VENETA S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3569273142;3571836;100700.0;1.0;100700.0;SETTORI SPECIALI;2008-11-26;PROCEDURA SELETTIVA EX ART. 238 C.7, D.LGS. 163/2006;CONTRATTO D'APPALTO;ACQUA CAMPANIA SPA;SEZIONE REGIONALE CAMPANIA;VARI SERVIZI DI INGEGNERIA;IDI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2681341895;2739678;149961.313;1.0;149961.32;SETTORI ORDINARI;2008-11-26;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;PROVINCIA AUTONOMA DI TRENTO;SEZIONE REGIONALE PROVINCIA AUTONOMA DI TRENTO;LAVORI DI COSTRUZIONE DI IMPIANTI DI DEPURAZIONE DELLE ACQUE DI SCARICO;SG ELETTRICA S.N.C.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
02425942E6;321679;66850.0;1.0;66850.0;SETTORI ORDINARI;2008-11-01;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;AZIENDA OSPEDALIERO-UNIVERSITARIA DI CAGLIARI;SEZIONE REGIONALE SARDEGNA;APPARECCHIATURA MEDICA INFORMATICA;TERAPON;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02373993D9;312798;129486.42;1.0;129486.42;SETTORI ORDINARI;2008-11-17;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI PADRU;SEZIONE REGIONALE SARDEGNA;LAVORI DI RESTAURO;CN ENGENEERING OF CONSTRUCTIONS S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0227191BEE;302388;90000.0;1.0;90000.0;SETTORI ORDINARI;2008-11-25;PROCEDURA RISTRETTA;ACQUISIZIONE IN ECONOMIA;MARINA MILITARE DIREZIONE GENERALE ARSENALE MILITARE MARITTIMO;SEZIONE REGIONALE CENTRALE;SERVIZI FOGNARI, DI RACCOLTA DEI RIFIUTI, DI PULIZIA E AMBIENTALI;SAMECO SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0240236902;317178;83058.33;1.0;83058.33;SETTORI ORDINARI;2008-11-21;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;COMUNE DI AVIGLIANO;SEZIONE REGIONALE BASILICATA;STRUMENTI MUSICALI;SELETTRA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1674843C27;1740462;65600.0;1.0;65600.0;SETTORI ORDINARI;2008-11-13;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;SEDICO SERVIZI;SEZIONE REGIONALE VENETO;LAVORI DI ISOLAMENTO;ITALTEC S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2440089922;2514533;24850.0;1.0;24850.0;SETTORI ORDINARI;2008-11-20;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;COMUNE DI BONATE SOTTO;SEZIONE REGIONALE LOMBARDIA;SERVIZI DI TRATTAMENTO E SMALTIMENTO DI RIFIUTI URBANI E DOMESTICI NON PERICOLOSI;ECOCENTRO SOLUZIONI AMBIENTALI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
27517228D2;2805683;184031.19;1.0;184031.19;SETTORI SPECIALI;2008-11-28;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;ENAV S.P.A.;SEZIONE REGIONALE CENTRALE;SERVIZI DI CONTROLLO TECNICO;TRANSTECH S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3167910208;3191520;28685.619;1.0;28685.62;SETTORI ORDINARI;2008-11-06;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZIENDA ULSS N. 3 SERENISSIMA;SEZIONE REGIONALE VENETO;SOLUZIONI MEDICHE;FRESENIUS KABI ITALIA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
47535712E2;4680671;361571.74;1.0;361571.74;SETTORI ORDINARI;2008-11-05;AFFIDAMENTO DIRETTO;CONTRATTO DI CONCESSIONE DI LAVORI;COMUNE DI VEDELAGO;SEZIONE REGIONALE VENETO;LAVORI DI COSTRUZIONE DI EDIFICI PER ATTIVITÀ RICREATIVE;ASSOCIAZIONE ALBAREDO INSIEME;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
02371874E6;312539;1128500.0;8.0;96600.0;SETTORI ORDINARI;2008-11-12;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;I.R.C.C.S. - C.R.O.B -CENTRO DI RIFERIMENTO ONCOLOGICO DELLA BASILICATA;SEZIONE REGIONALE BASILICATA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;TECNOLIFE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2734586BBE;2789950;63431.99;1.0;63431.99;SETTORI ORDINARI;2008-11-18;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO D'APPALTO;AUTOSTRADE PER L'ITALIA S.P.A.;SEZIONE REGIONALE CENTRALE;LAVORI DI COSTRUZIONE DI IMPIANTI DI TRATTAMENTO DELLE ACQUE FOGNARIE, IMPIANTI DI DEPURAZIONE E IMPIANTI DI INCENERIMENTO DI RIFIUTI;SO.GE.COL. S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3605254DB4;3606118;1459632.48;1.0;1459632.48;SETTORI SPECIALI;2008-11-27;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;RETE FERROVIARIA ITALIANA - SOCIETA PER AZIONI;SEZIONE REGIONALE CENTRALE;VARI SERVIZI DI INGEGNERIA;ITALFERR SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2930011191;2971613;40784.31;1.0;40784.31;SETTORI ORDINARI;2008-11-07;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACQUISIZIONE IN ECONOMIA;COMUNE DI POLISTENA;SEZIONE REGIONALE CALABRIA;SERVIZI DI GESTIONE CONNESSI ALLA COSTRUZIONE;BARRECA RAFFAELE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3056610A5B;3088523;95942.25;1.0;95942.25;SETTORI ORDINARI;2008-11-18;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;COMUNE DI BARI;SEZIONE REGIONALE PUGLIA;RIPARAZIONE E MANUTENZIONE DI IMPIANTI;CA. GI DI GIOVANNI CALO';IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
29267037B6;2968661;489600.0;2.0;128640.0;SETTORI ORDINARI;2008-11-23;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA SANITARIA PROVINCIALE DI MESSINA;SEZIONE REGIONALE SICILIA;MATERIALI MEDICI;TEKMED INSTRUMENTS S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1328359485;1384721;115000.0;1.0;115000.0;SETTORI ORDINARI;2008-11-03;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;CONSORTIUM GARR;SEZIONE REGIONALE CENTRALE;SERVIZI TELEFONICI E DI TRASMISSIONE DATI;DIP. ZOOLOGIA UNIV. BARI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0251792952;336208;21438.0;1.0;21438.0;SETTORI ORDINARI;2008-11-17;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA OSPEDALIERO-UNIVERSITARIA DI CAGLIARI;SEZIONE REGIONALE SARDEGNA;ALCOL ETILICO;CARLO ERBA REAGENTI SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2506438A0F;2578676;195000.0;1.0;195000.0;SETTORI ORDINARI;2008-11-13;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;COMUNE DI TERAMO;SEZIONE REGIONALE ABRUZZO;SERVIZI DI PUBBLICA SICUREZZA;VIGILANTES GROUP;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3167670BF7;3191267;48557.469;1.0;48557.47;SETTORI ORDINARI;2008-11-06;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZIENDA ULSS N. 3 SERENISSIMA;SEZIONE REGIONALE VENETO;SOLUZIONI MEDICHE;BAXTER SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
17369944CA;1803749;175000.0;1.0;175000.0;SETTORI ORDINARI;2008-11-03;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI PUTIGNANO;SEZIONE REGIONALE PUGLIA;ATTREZZATURE PER ARCHIVIAZIONE;ICAM SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2505004AAF;2577287;77879.94;1.0;77879.94;SETTORI ORDINARI;2008-11-06;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI LORETO APRUTINO;SEZIONE REGIONALE ABRUZZO;LAVORI DI RISTRUTTURAZIONE;P.A.M.E.R. SAS;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
023732679A;312732;206800.0;1.0;206800.0;SETTORI ORDINARI;2008-11-14;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI CASTELLO TESINO;SEZIONE REGIONALE PROVINCIA AUTONOMA DI TRENTO;LAVORI DI COSTRUZIONE DI CONDOTTE IDRICHE E FOGNARIE;DM SNC DI DALLE MULLE MARINO E C.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
23935568E3;2470096;40500.0;1.0;40500.0;SETTORI ORDINARI;2008-11-07;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;AZIENDA U.L.S.S. N. 19 ADRIA;SEZIONE REGIONALE VENETO;SISTEMI DIAGNOSTICI;SEBIA ITALIA S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0194831B9D;268782;2027155.37;1.0;2027155.37;SETTORI ORDINARI;2008-11-14;PROCEDURA APERTA;CONTRATTO D'APPALTO;REGIONE SICILIANA;SEZIONE REGIONALE SICILIA;LAVORI DI RESTAURO;SICILY RESTAURI DI GUMINA SALVATORE E C. S.A.S.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
32789871AC;3298080;49870.191;1.0;49870.19;SETTORI ORDINARI;2008-11-19;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;PROVINCIA AUTONOMA DI BOLZANO;SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO;SERVIZI ARCHITETTONICI, DI INGEGNERIA E PIANIFICAZIONE;KOFLER DR. ING. IVO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0238034FDA;313449;28925.77;1.0;28925.77;SETTORI ORDINARI;2008-11-18;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AMMINISTRAZIONE PROVINCIALE DI UDINE;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;SERVIZI ARCHITETTONICI, DI COSTRUZIONE, INGEGNERIA E ISPEZIONE;RUNCIO ASSOCIATI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0205224C30;280340;73195.04;46.0;570474.0;SETTORI ORDINARI;2008-11-07;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;AZIENDA USL DI FORLI ;SEZIONE REGIONALE EMILIA ROMAGNA;DISPOSITIVI E PRODOTTI MEDICI VARI;RAYS S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
306067768E;3092563;209000.0;1.0;209000.0;SETTORI ORDINARI;2008-11-21;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO DAPPALTO;AZIENDA ULSS N. 3 SERENISSIMA;SEZIONE REGIONALE VENETO;MEDICINALI VARI;BAYER S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
023609823B;311442;156419.094;1.0;156419.1;SETTORI ORDINARI;2008-11-20;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;COMUNE DI PODENZANA;SEZIONE REGIONALE TOSCANA;LAVORI DI DRAGAGGIO E POMPAGGIO PER GLI IMPIANTI DI TRATTAMENTO DELLE ACQUE;MACKO SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
1804652DED;1876525;164618112.0;1.0;164618104.0;SETTORI ORDINARI;2008-11-04;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;PROVINCIA AUTONOMA DI TRENTO;SEZIONE REGIONALE PROVINCIA AUTONOMA DI TRENTO;SERVIZI DI TRASPORTO PUBBLICO TERRESTRE;TRENITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
21386684A9;2210584;42400.0;1.0;42400.0;SETTORI ORDINARI;2008-11-27;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;COMUNE DI VILLA CARCINA;SEZIONE REGIONALE LOMBARDIA;LAVORI DI RIPARAZIONE E RIPRISTINO;TINTEGGIATURE SAIANI SNC DI SAIANI MAURIZIO E C.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
268527248D;2744314;16503225.62;1.0;16503225.62;SETTORI ORDINARI;2008-11-06;PROCEDURA APERTA;CONTRATTO DAPPALTO;AZIENDA UNITA  SANITARIA LOCALE ROMA E;SEZIONE REGIONALE LAZIO;SERVIZI DI SUPPORTO TECNICO;SOCIETA COOP CAPODARCO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3141282BE6;3167391;380000.0;1.0;380000.0;SETTORI SPECIALI;2008-11-14;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;ACEA SPA;SEZIONE REGIONALE CENTRALE;COMPUTER MODELLO DESKTOP;DELL SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
276022628D;2811303;5697058.84;6.0;60650.98;SETTORI ORDINARI;2008-11-28;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA SANITARIA LOCALE - PROVINCIA DI MILANO 1;SEZIONE REGIONALE LOMBARDIA;MEDICINALI PER IL SANGUE, GLI ORGANI CHE FORMANO IL SANGUE E IL SISTEMA CARDIOVASCOLARE;FERRING SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
36269849DF;3627052;750000.0;1.0;750000.0;SETTORI ORDINARI;2008-11-23;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA SANITARIA PROVINCIALE DI MESSINA;SEZIONE REGIONALE SICILIA;MATERIALI MEDICI;MEDICALIA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0824924CCE;869312;50000.0;1.0;50000.0;SETTORI ORDINARI;2008-11-19;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;ENTE REGIONE MARCHE;SEZIONE REGIONALE MARCHE;SERVIZI DI SVILUPPO DI SOFTWARE PERSONALIZZATI;GEOSERVICE SRL;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0824924CCE;869312;50000.0;1.0;50000.0;SETTORI ORDINARI;2008-11-19;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;ENTE REGIONE MARCHE;SEZIONE REGIONALE MARCHE;SERVIZI DI SVILUPPO DI SOFTWARE PERSONALIZZATI;E-LINKING ONLINE SYSTEM S.R.L.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
024485089A;325608;171779.46;1.0;171779.46;SETTORI ORDINARI;2008-11-28;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;REGIONE PUGLIA;SEZIONE REGIONALE PUGLIA;RIPARAZIONE E MANUTENZIONE DI IMPIANTI;GIELLE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
